Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-07329800005,9/19/2017,3625,Wal-Mart 0892 / Ankeny,1002 SE National Dr,Ankeny,50021,POINT (-93.582348 41.70486400000001),77,POLK,1041100,American Dry Gins,370,PERNOD RICARD USA,32236,Seagrams Extra Dry Gin,12,750,6.49,9.74,12,116.88,9,2.38
INV-07324200010,9/19/2017,2844,CVS Pharmacy #8547 / Iowa City,2425 Muscatine Ave,Iowa City,52240,POINT (-91.50008800000002 41.649547),52,JOHNSON,1062100,Gold Rum,434,LUXCO INC,45246,Paramount Gold Rum,12,750,4,6,12,72,9,2.38
INV-07298800004,9/18/2017,5434,"MK Minimart, Inc",101 E Mt. Pleasant Street,West Burlington,52655,POINT (-91.156304 40.826019),29,DES MOINES,1031100,American Vodkas,297,Laird & Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,6,64.8,10.5,2.77
INV-07307300026,9/18/2017,3712,Monte Spirits,109 N 4th St,Montezuma,50171,POINT (-92.523692 41.585429),79,POWESHIEK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11776,Black Velvet,12,750,5.23,7.85,2,15.7,1.5,0.4
INV-07275100013,9/15/2017,4651,Casey's General Store #2300 / Jewell,301 MAIN ST,Jewell,50130,POINT (-93.640039 42.302654000000004),40,HAMILTON,1062400,Spiced Rum,260,DIAGEO AMERICAS,43336,Captain Morgan Original Spiced,12,750,9.06,13.59,3,40.77,2.25,0.59
INV-07326300065,9/19/2017,2624,Hy-Vee #2 / Dubuque,2395 NW Arterial Rd,Dubuque,52002,POINT (-90.741064 42.516633),31,DUBUQUE,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19066,Jim Beam,12,750,10.49,15.74,12,188.88,9,2.38
INV-07315700023,9/18/2017,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501,POINT (-95.8792 41.238092),78,POTTAWATTA,1022100,Mixto Tequila,395,PROXIMO,89197,Jose Cuervo Especial Reposado Tequila,12,1000,13,19.5,24,468,24,6.34
INV-07264100113,9/15/2017,2620,Hy-Vee / Windsor Heights,7101 University Ave,Windsor Heights,50311,,77,Polk,1032200,Imported Flavored Vodka,260,DIAGEO AMERICAS,64914,Ciroc Mango,12,750,16.49,24.74,3,83.22,2.25,0.59
INV-07248900021,9/14/2017,4604,Pit Stop Liquors / Newton,"1324, 1st Ave E",Newton,50208,POINT (-93.035654 41.699173),50,JASPER,1082200,Imported Schnapps,260,DIAGEO AMERICAS,65066,Goldschlager Cinnamon Schnapps,12,750,13,19.5,1,19.5,0.75,0.2
INV-07232800057,9/13/2017,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401,POINT (-91.659875 41.97574),57,LINN,1041100,American Dry Gins,205,E & J Gallo Winery,31475,New Amsterdam Gin,12,750,7.5,11.25,12,135,9,2.38
INV-07300300025,9/18/2017,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON,1062400,Spiced Rum,35,BACARDI USA INC,43205,Bacardi Oakheart,12,750,7.5,11.25,12,135,9,2.38
INV-07250200046,9/14/2017,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1062500,Flavored Rum,370,PERNOD RICARD USA,42703,Malibu Pineapple Rum,12,750,7.49,11.24,1,11.24,0.75,0.2
INV-07325300055,9/19/2017,3926,Liquor Downtown / Iowa City,315 S Gilbert St,Iowa City,52240,POINT (-91.530181 41.657654),52,JOHNSON,1031200,American Flavored Vodka,205,E & J Gallo Winery,36618,New Amsterdam Raspberry,12,750,7.5,11.25,12,135,9,2.38
INV-07228600005,9/13/2017,4975,Walgreens #15647 / Sioux City,1900 Hamilton Blvd,Sioux City,51104,POINT (-96.4167 42.511229),97,WOODBURY,1062200,White Rum,434,LUXCO INC,45278,Paramount White Rum,6,1750,7.84,11.76,6,70.56,10.5,2.77
INV-07309500007,9/18/2017,3981,Wal-Mart 1152 / Sioux Center,255 16th St SW,Sioux Center,51250,POINT (-96.179835 43.060881),84,SIOUX,1062200,White Rum,434,LUXCO INC,45278,Paramount White Rum,6,1750,7.84,11.76,6,70.56,10.5,2.77
INV-07308700010,9/18/2017,5413,Lil' Chubs Corner Stop,712 S Oak St,Inwood,51240,POINT (-96.430827 43.30226),60,LYON,1081200,Cream Liqueurs,305,Mhw LTD,73055,Rumchata,12,750,12.5,18.75,1,18.75,0.75,0.2
INV-07242000003,9/14/2017,4362,Kum & Go #135 / Polk City,303 W Broadway St,Polk City,50226,POINT (-93.71443100000002 41.772214),77,POLK,1012400,Irish Whiskies,370,PERNOD RICARD USA,15626,Jameson,12,750,15.99,23.99,3,67.47,2.25,0.59
INV-07241900004,9/14/2017,4901,Fareway Stores #137 / Polk City,1101 S 5th St,Polk City,50226,POINT (-93.719323 41.763876),77,POLK,1011100,Blended Whiskies,297,Laird & Company,23826,Five Star,12,750,3.5,5.25,12,63,9,2.38
INV-07341800004,9/20/2017,2658,Hy-Vee Food Store / Mount Ayr,402 S Hayes St,Mount Ayr,50854,POINT (-94.233185 40.711775),80,RINGGOLD,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11777,Black Velvet,12,1000,6.63,9.95,12,119.4,12,3.17
INV-07224400203,9/13/2017,2625,Hy-Vee Wine and Spirits #2,3301 W Kimberly Rd,Davenport,52804,,82,SCOTT,1031100,American Vodkas,380,Phillips Beverage,37347,Phillips Vodka,12,1000,4.29,6.44,120,772.8,120,31.7
INV-07270400035,9/15/2017,4291,Fareway Stores #597 / Creston,105 E Adams St,Creston,50801,POINT (-94.237509 40.715722),88,UNION,1032100,Imported Vodkas,35,BACARDI USA INC,34422,Grey Goose Vodka,6,1000,22.5,33.75,1,33.75,1,0.26
INV-07298500015,9/18/2017,5149,B S Mini Mart Inc,"1900, Summer St",Burlington,52601,POINT (-91.116076 40.789013),29,DES MOINES,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11774,Black Velvet,24,375,3.07,4.61,5,23.05,1.88,0.5
INV-07224600047,9/13/2017,3776,Wal-Mart 5115 / Davenport,3101 West Kimberly Rd,Davenport,52806,POINT (-90.620069 41.559268),82,SCOTT,1012100,Canadian Whiskies,380,Phillips Beverage,14474,Revel Stoke Roasted Pecan,12,750,7.52,11.28,12,135.36,9,2.38
INV-07296300029,9/18/2017,3782,Bender Foods / Guttenberg,619 S Hwy 52,Guttenberg,52052,POINT (-91.100489 42.77964),22,CLAYTON,1081200,Cream Liqueurs,305,Mhw LTD,73053,Rumchata,6,1000,16.34,24.51,6,147.06,6,1.59
INV-07277400005,9/15/2017,4709,Walgreens #12108 / Ames,2719 Grand Ave,Ames,50010,POINT (-93.620635 42.048974),85,STORY,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11296,Crown Royal,12,750,15.59,23.39,12,280.68,9,2.38
INV-07327300132,9/19/2017,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1081200,Cream Liqueurs,305,Mhw LTD,73053,Rumchata,6,1000,16.34,24.51,6,147.06,6,1.59
INV-07321400039,9/19/2017,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668909 42.034799),57,LINN,1031100,American Vodkas,434,LUXCO INC,36301,Hawkeye Vodka 80 Prf Mini,12,500,4.13,6.2,2,12.4,1,0.26
INV-07245300036,9/14/2017,3664,Shade Tree Liquors,90 10th St S,Northwood,50459,POINT (-93.218339 43.443739),98,WORTH,1062400,Spiced Rum,260,DIAGEO AMERICAS,43296,Captain Morgan Silver Spiced Rum,12,750,9,13.5,12,162,9,2.38
INV-07333300015,9/19/2017,4895,Big Discount Liquor,5427 Center Point Rd NE,Cedar Rapids,52402,POINT (-91.668086 42.033480000000004),57,LINN,1062400,Spiced Rum,259,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,5.78,8.67,12,104.04,9,2.38
INV-07303200065,9/18/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1031200,American Flavored Vodka,380,Phillips Beverage,41604,Uv Grape Vodka,12,750,6.5,9.75,48,468,36,9.51
INV-07305800023,9/18/2017,4467,Kum & Go #438 / Muscatine,1429 PARK AVE,MUSCATINE,52761,POINT (-91.030595 41.441918),70,MUSCATINE,1032100,Imported Vodkas,35,BACARDI USA INC,34423,Grey Goose Vodka,12,375,9,13.5,4,54,1.5,0.4
INV-07242500005,9/14/2017,4405,KUM & GO #92 / ANKENY,1025 E  1st St,Ankeny,50021,POINT (-93.58166 41.731869),77,POLK,1031100,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,18,193.68,31.5,8.32
INV-07263900106,9/15/2017,2626,Hy-Vee Drugstore / University / DSM,4100 University Ave,Des Moines,50311,POINT (-93.673222 41.600361),77,POLK,1081300,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75214,Kinky Blue,12,750,10,15,1,15,0.75,0.2
INV-07224000131,9/13/2017,2548,Hy-Vee Food Store / Altoona,100 8th Street SW,Altoona,50009,POINT (-93.465301 41.644041),77,POLK,1081100,Coffee Liqueurs,410,Patron Spirits Company,67595,Patron Xo Cafe,6,750,14,21,4,84,3,0.79
INV-07311000029,9/18/2017,4098,Wal-Mart 1475 / Washington,2485 Hwy 92,Washington,52353,POINT (-91.660194 41.296202),92,WASHINGTON,1062200,White Rum,35,BACARDI USA INC,43128,Bacardi Superior Rum,6,1750,15,22.5,6,135,10.5,2.77
INV-07235600028,9/13/2017,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 Boyson Rd NE,Cedar Rapids,52402,POINT (-91.63913 42.04671),57,LINN,1031200,American Flavored Vodka,380,Phillips Beverage,41693,Uv Blue (raspberry) Vodka,12,750,6.5,9.75,12,117,9,2.38
INV-07324100053,9/19/2017,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1st Ave,Iowa City,52240,,52,JOHNSON,1032100,Imported Vodkas,370,PERNOD RICARD USA,34008,Absolut Swedish Vodka 80 Prf,6,1750,19.99,29.99,6,179.94,10.5,2.77
INV-07238500006,9/14/2017,4196,Fareway Stores #987 / Davenport,1635 West 53rd St,Davenport,52806,POINT (-90.598191 41.574438),82,SCOTT,1041100,American Dry Gins,205,E & J Gallo Winery,31475,New Amsterdam Gin,12,750,7.5,11.25,12,135,9,2.38
INV-07320500063,9/19/2017,5142,Smokin' Joe's #13 Tobacco & Liquor O,,,,,,,1011200,Straight Bourbon Whiskies,55,SAZERAC NORTH AMERICA,21596,Ten High,12,750,4.1,6.15,1,6.15,0.75,0.2
INV-07318900012,9/19/2017,4622,Quik Trip #544 / SE 14th DM,"3941, SE 14th St",Des Moines,50320,POINT (-93.596748 41.548497),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,6,48,2.25,0.59
INV-07256700022,9/14/2017,3814,Costco Wholesale #788,7205 Mills Civic Pkwy,West Des Moines,50266,POINT (-93.806489 41.561342),25,Dallas,1012300,Single Malt Scotch,370,PERNOD RICARD USA,5036,Glenlivet 12YR,12,750,23.98,35.97,120,4226.4,90,23.78
INV-07320700050,9/19/2017,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1031100,American Vodkas,421,SAZERAC COMPANY  INC,38088,Platinum 7x Vodka,6,1750,9.44,14.16,60,849.6,105,27.74
INV-07303000052,9/18/2017,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14th St,Des Moines,50315,,77,POLK,1081400,American Schnapps,55,SAZERAC NORTH AMERICA,84143,99 Cinnamon Mini,10,600,6,9,5,45,3,0.79
INV-07331100007,9/19/2017,4359,Kum & Go #75 / Waukee,350 SE University Ave,Waukee,50263,POINT (-93.865479 41.600403),25,DALLAS,1051100,American Brandies,205,E & J Gallo Winery,52579,E & J Vsop Superior Reserve Mini,10,500,7.68,11.52,2,23.04,1,0.26
INV-07309200027,9/18/2017,5357,Gameday Liquor/ Orange City,632 8th St. SE,Orange City,51041,POINT (-96.051138 42.99748400000001),84,SIOUX,1081300,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75214,Kinky Blue,12,750,10,15,1,15,0.75,0.2
INV-07281800027,9/15/2017,4797,Walgreens #05362 / Des Moines,1330 E University Ave,Des Moines,50316,POINT (-93.601331 41.600612),77,POLK,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26826,Jack Daniels Old #7 Black Lbl,12,750,15.57,23.36,12,280.32,9,2.38
INV-07326300098,9/19/2017,2624,Hy-Vee #2 / Dubuque,2395 NW Arterial Rd,Dubuque,52002,POINT (-90.741064 42.516633),31,DUBUQUE,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35318,Barton Vodka,6,1750,6.92,10.38,6,62.28,10.5,2.77
INV-07245200011,9/14/2017,5383,Casey's General Store # 1753/ Northwood,101 8th St. N,Northwood,50459,POINT (-93.220903 43.445493),98,WORTH,1031100,American Vodkas,260,DIAGEO AMERICAS,37996,Smirnoff 80prf,12,750,8.25,12.38,4,49.52,3,0.79
INV-07266900024,9/15/2017,4547,Fareway Stores #902 / Hampton,309 Central Ave West,Hampton,50441,POINT (-93.211676 42.741748),35,FRANKLIN,1032100,Imported Vodkas,370,PERNOD RICARD USA,34006,Absolut Swedish Vodka 80 Prf,12,750,11.49,17.24,4,68.96,3,0.79
INV-07339900102,9/19/2017,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703,POINT (-92.337583 42.530476),7,BLACK HAWK,1062500,Flavored Rum,65,Jim Beam Brands,44456,Cruzan Raspberry Rum,12,750,6.83,10.25,2,20.5,1.5,0.4
INV-07339900029,9/19/2017,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703,POINT (-92.337583 42.530476),7,BLACK HAWK,1011100,Blended Whiskies,492,WESTERN SPIRITS BEVERAGE,27474,Bird Dog Blackberry Whiskey,6,750,10,15,1,15,0.75,0.2
INV-07317900036,9/19/2017,4757,EZ Mart / Bondurant,1111 SE Lincoln St,Bondurant,50035,POINT (-93.457069 41.692534),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64867,Fireball Cinnamon Whiskey,12,1000,11.34,17.01,1,17.01,1,0.26
INV-07272100004,9/15/2017,5352,Casey's General Store # 3565/ Tripoli,600 7th Ave,Tripoli,50676,,9,BREMER,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,17956,Evan Williams Str Bourbon,12,750,7.74,11.61,3,34.83,2.25,0.59
INV-07240000019,9/14/2017,4959,Bani's,2128 College St,Cedar Falls,50613,POINT (-92.455801 42.518018000000005),7,BLACK HAWK,1071100,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57129,Chi-Chi's Mexican Mudslide,6,1750,6.5,9.75,6,58.5,10.5,2.77
INV-07227900137,9/13/2017,2621,Hy-Vee Food Store #3 / Sioux City,3301 Gordon Dr,Sioux City,51105,POINT (-96.364108 42.487752),97,WOODBURY,1051100,American Brandies,205,E & J Gallo Winery,73755,E & J Apple,12,750,6,9,4,36,3,0.79
INV-07331000131,9/19/2017,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266,POINT (-93.808855 41.598515),77,POLK,1011200,Straight Bourbon Whiskies,260,DIAGEO AMERICAS,17086,Bulleit Bourbon,12,750,16,24,12,270,9,2.38
INV-07268900017,9/15/2017,4602,Cheap Smokes / Beer City,58231 190th St,Pacific Junction,51561,POINT (-95.822983 41.041739),65,MILLS,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10784,Crown Royal Salted Caramel,12,750,15.07,22.61,2,45.22,1.5,0.4
INV-07244800077,9/14/2017,4969,Lake Liquors Wine and Spirits,910 N 8th St W,Clear Lake,50428,POINT (-93.396651 43.142775),17,Cerro Gord,1071100,Cocktails /RTD,395,PROXIMO,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.74,13.11,6,78.66,10.5,2.77
INV-07304100099,9/18/2017,3525,Wines and Spirits,106 W 2nd St,Washington,52353,POINT (-91.692214 41.300399),92,WASHINGTON,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10805,Crown Royal Regal Apple,24,375,8,12,4,48,1.5,0.4
INV-07266200009,9/15/2017,4455,Kum & Go #1959 / Eldora,2359 Edgington Ave,Eldora,50627,POINT (-93.113653 42.360612),42,HARDIN,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11294,Crown Royal Canadian Whisky,24,375,8,12,2,24,0.75,0.2
INV-07316000030,9/18/2017,2591,Hy-Vee Wine and Spirits / Atlantic,,,,,,,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19068,Jim Beam,6,1750,20.99,31.49,6,188.94,10.5,2.77
INV-07314300001,9/18/2017,5173,Audubon Food Land,104 Market St,Audubon,50025,POINT (-94.93625 41.723057),5,AUDUBON,1062400,Spiced Rum,260,DIAGEO AMERICAS,43316,Captain Morgan Private Stock Rum,12,750,11.99,17.99,4,71.96,3,0.79
INV-07289600040,9/18/2017,3886,Wal-Mart 0646 / Anamosa,101  115 St,Anamosa,52205,POINT (-91.26496500000002 42.101677),53,JONES,1081200,Cream Liqueurs,330,Gemini Spirits,80456,Ryan's Cream Liqueur,12,750,6.03,9.05,12,120.6,9,2.38
INV-07282700077,9/15/2017,2585,Hy-Vee Wine and Spirits / Algona,1516 Highway 169 North,Algona,50511,POINT (-94.236003 43.081288),55,KOSSUTH,1062500,Flavored Rum,260,DIAGEO AMERICAS,43299,Captain Morgan Coconut,12,750,8.26,12.39,2,24.78,1.5,0.4
INV-07242600014,9/14/2017,3420,Sam's Club 6344 / Windsor Heights,,,,,,,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34821,Svedka Vodka,6,1750,13,19.5,300,5850,525,138.69
INV-07247100016,9/14/2017,4787,Guppy's On The Go Swisher,2722 NE 120th St,Swisher,52338,POINT (-91.664592 41.847894),52,JOHNSON,1032100,Imported Vodkas,260,DIAGEO AMERICAS,34456,Ketel One Imported Vodka,12,750,12.5,18.75,5,93.75,3.75,0.99
INV-07272500053,9/15/2017,3819,Quillins Decorah,915 Short St,Decorah,52101,POINT (-91.79777100000001 43.291023),96,WINNESHIEK,1042100,Imported Dry Gins,370,PERNOD RICARD USA,28086,Beefeater Gin,12,750,10.99,16.49,3,49.47,2.25,0.59
INV-07235100007,9/13/2017,4025,Karam Kaur Khasriya Llc,702 13th St,Belle Plaine,52208,POINT (-92.277759 41.897052),6,BENTON,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10809,Crown Royal Regal Apple,6,1750,31.99,47.99,6,287.94,10.5,2.77
INV-07296500001,9/18/2017,3679,FRANKLIN STREET FLORAL & GIFT,103 Franklin St,Monona,52159,POINT (-91.390767 43.055133),22,CLAYTON,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,27783,Jim Beam Apple,12,750,10.49,15.74,1,15.74,0.75,0.2
INV-07332600097,9/19/2017,2666,Hy-Vee #2 / Ankeny,2510 SW State St,Ankeny,50023,POINT (-93.621824 41.705188),77,Polk,1062500,Flavored Rum,370,PERNOD RICARD USA,42718,Malibu Coconut Rum,6,1750,16.49,24.74,6,148.44,10.5,2.77
INV-07295300029,9/18/2017,4019,Wal-Mart 1506 / Manchester,1220 West Main,Manchester,52057,,28,DELAWARE,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,12,121.56,9,2.38
INV-07302300047,9/18/2017,3918,Smokin' Joe's #1 Tobacco and Liquor Outlet,3120 Rockingham Rd,Davenport,52802,POINT (-90.621541 41.510082),82,SCOTT,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25604,Seagrams 7 Crown Bl Whiskey,24,375,3.5,5.25,6,31.5,2.25,0.59
INV-07259900159,9/14/2017,2561,Hy-Vee Food Store / Fleur / DSM,4605 Fleur Drive,Des Moines,50321,POINT (-93.64494300000001 41.542748),77,POLK,1081400,American Schnapps,55,SAZERAC NORTH AMERICA,84166,99 Blackberries,12,750,7.79,11.69,2,23.38,1.5,0.4
INV-07298100015,9/18/2017,4258,Fareway Stores #009 / Burlington,920 Lawrence Dr,Burlington,52601,POINT (-91.140051 40.799097),29,DES MOINES,1032100,Imported Vodkas,277,STOLI GROUP,34746,Stolichnaya 80prf,12,750,9.99,14.99,2,29.98,1.5,0.4
INV-07230300057,9/13/2017,3723,J D Spirits Liquor,1023  9th St,Onawa,51040,POINT (-96.095845 42.025841),67,MONONA,1031100,American Vodkas,260,DIAGEO AMERICAS,37417,Popov Vodka 80 Prf,12,1000,5.5,8.25,12,99,12,3.17
INV-07299400003,9/18/2017,4794,Smokin' Joe's #17 Tobacco and Liquor Outlet,110 S Roosevelt Hwy 61,Burlington,52601,POINT (-91.141203 40.80943700000001),29,DES MOINES,1031100,American Vodkas,297,Laird & Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,6,64.8,10.5,2.77
INV-07291700016,9/18/2017,3868,Wal-Mart 3630 / Marion,5491 Business Hwy 151,Marion,52302,,57,LINN,1071100,Cocktails /RTD,35,BACARDI USA INC,56843,Bacardi Party Drinks Zombie,6,1750,6.98,10.47,6,62.82,10.5,2.77
INV-07248100043,9/14/2017,4345,Lucky Mart,1031 West St,Grinnell,50112,POINT (-92.727379 41.745903),79,POWESHIEK,1062500,Flavored Rum,370,PERNOD RICARD USA,42312,Malibu Red,12,750,8.49,12.74,4,50.96,3,0.79
INV-07224400117,9/13/2017,2625,Hy-Vee Wine and Spirits #2,3301 W Kimberly Rd,Davenport,52804,,82,SCOTT,1011200,Straight Bourbon Whiskies,107,BLAUM BROTHERS DISTILLING CO,27165,Oldfangled Knotter Bourbon 10YR,6,750,41,61.5,1,61.5,0.75,0.2
INV-07230800022,9/13/2017,2670,Hy-Vee Food Store / Coralville,2004 8th  St,Coralville,52241,POINT (-91.591868 41.682337000000004),52,JOHNSON,1062400,Spiced Rum,259,Heaven Hill Brands,43025,Admiral Nelson Spiced Rum Traveler,12,750,5.78,8.67,12,104.04,9,2.38
INV-07240000028,9/14/2017,4959,Bani's,2128 College St,Cedar Falls,50613,POINT (-92.455801 42.518018000000005),7,BLACK HAWK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,24,243.12,18,4.76
INV-07321400090,9/19/2017,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668909 42.034799),57,LINN,1011200,Straight Bourbon Whiskies,421,SAZERAC COMPANY  INC,16518,Ancient Age Bourbon,6,1750,11.8,17.7,6,106.2,10.5,2.77
INV-07312600046,9/18/2017,2613,Hy-Vee Food Store #1 / Council Bluffs,2323 W Broadway,Council Bluffs,51501,POINT (-95.879662 41.261925),78,POTTAWATTA,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,17127,Cabin Still Str Bourbon,12,1000,5,7.5,12,90,12,3.17
INV-07299300024,9/18/2017,3562,Wal-Mart 0797 / W Burlington,324 West Agency Rd,West Burlington,52655,POINT (-91.158407 40.813125),29,DES MOINES,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11348,Seagrams V.o. Bl Canadian Whisky Pet,6,1750,16,24,6,144,10.5,2.77
INV-07293800018,9/18/2017,5295,Yesway Store # 10023/ Waterloo,117 San Marnan Dr E,Waterloo,50702,POINT (-92.355753 42.457847),7,BLACK HAWK,1031100,American Vodkas,434,LUXCO INC,36304,Hawkeye Vodka,24,375,1.86,2.79,24,66.96,9,2.38
INV-07266900025,9/15/2017,4547,Fareway Stores #902 / Hampton,309 Central Ave West,Hampton,50441,POINT (-93.211676 42.741748),35,FRANKLIN,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68036,Baileys Original Irish Cream,12,750,13,19.5,5,93.75,3.75,0.99
INV-07327300067,9/19/2017,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1031100,American Vodkas,434,LUXCO INC,36301,Hawkeye Vodka 80 Prf Mini,12,500,4.13,6.2,2,12.4,1,0.26
INV-07250200042,9/14/2017,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1012100,Canadian Whiskies,65,Jim Beam Brands,10626,Canadian Club Whisky,12,750,8,12,2,23.62,1.5,0.4
INV-07308300039,9/18/2017,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19068,Jim Beam,6,1750,20.99,31.49,1,31.49,1.75,0.46
INV-07336900008,9/19/2017,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588,POINT (-95.200758 42.65318400000001),11,BUENA VIST,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,5327,Johnnie Walker Black,12,1000,27.74,41.61,2,83.22,2,0.53
INV-07289500066,9/18/2017,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401,POINT (-91.659875 41.97574),57,LINN,1022300,Mezcal,370,PERNOD RICARD USA,89221,Del Maguey Mezcal Vida,6,750,19,28.5,6,171,4.5,1.19
INV-07243200005,9/14/2017,4353,Kum & Go #302 / Clear Lake,2905 Fourth Ave,Clear Lake,50248,POINT (-93.652428 41.475689),17,Cerro Gord,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11788,Black Velvet,6,1750,10.45,15.68,6,94.08,10.5,2.77
INV-07265500036,9/15/2017,4068,Sa Petro Mart,136  1ST ST,West Des Moines,50265,POINT (-93.703344 41.570743),77,POLK,1081400,American Schnapps,65,Jim Beam Brands,82612,Dekuyper Hot Damn! PET,12,750,6.47,9.71,2,19.42,1.5,0.4
INV-07318700016,9/19/2017,4141,Fareway Stores #975 / SE 22nd / DSM,3000 SE 22nd St,Des Moines,50320,POINT (-93.57748 41.556274),77,POLK,1031100,American Vodkas,380,Phillips Beverage,37346,Phillips Vodka,12,750,3.57,5.36,12,64.32,9,2.38
INV-07263900125,9/15/2017,2626,Hy-Vee Drugstore / University / DSM,4100 University Ave,Des Moines,50311,POINT (-93.673222 41.600361),77,POLK,1022100,Mixto Tequila,395,PROXIMO,89191,Jose Cuervo Especial Reposado Tequila Mini,12,500,11.5,17.25,3,51.75,1.5,0.4
INV-07313300037,9/18/2017,5077,Wal-Mart 3150 / Council Bluffs,1800 N 16th St,Council Bluffs,51501,POINT (-95.867459 41.27737),78,POTTAWATTA,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,17958,Evan Williams Yr Str Bourbon,6,1750,15.5,23.25,6,139.5,10.5,2.77
INV-07333300040,9/19/2017,4895,Big Discount Liquor,5427 Center Point Rd NE,Cedar Rapids,52402,POINT (-91.668086 42.033480000000004),57,LINN,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11299,Crown Royal,44,200,5,7.5,44,311.52,8.8,2.32
INV-07279800014,9/15/2017,4317,Fareway Stores #941 / Greenfield,212 SW Kent,Greenfield,50849,POINT (-94.462719 41.303167),1,ADAIR,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26828,Jack Daniels Old #7 Black Lbl,6,1750,30.68,46.02,2,92.04,3.5,0.92
