Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-07333600020,9/19/2017,5230,Point Liquor & Tobacco,"3221, Center Point Rd NE",Cedar Rapids,52402,POINT (-91.663629 42.01133),57,LINN,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65258,Jagermeister Liqueur,6,1750,26.05,39.08,6,234.48,10.5,2.77
INV-07305300030,9/18/2017,3403,Econ-o-mart / Columbus Junction,103 Walnut St. E,Columbus Junction,52738,POINT (-91.359363 41.280107),58,LOUISA,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11777,Black Velvet,12,1000,6.63,9.95,4,39.8,4,1.06
INV-07240200008,9/14/2017,5107,Kum & Go #4098 / Windsor Heights,7229 University Ave,Windsor Heights,50311,,77,Polk,1031100,American Vodkas,260,DIAGEO AMERICAS,37991,Smirnoff 80prf Mini,12,500,7.47,11.21,6,67.26,3,0.79
INV-07327800011,9/19/2017,4334,Fareway Stores #114 / Dubuque,2050 John F Kennedy Rd,Dubuque,52001,,31,DUBUQUE,1062200,White Rum,35,BACARDI USA INC,43126,Bacardi Superior Rum,12,750,8.26,12.39,12,148.68,9,2.38
INV-07227900092,9/13/2017,2621,Hy-Vee Food Store #3 / Sioux City,3301 Gordon Dr,Sioux City,51105,POINT (-96.364108 42.487752),97,WOODBURY,1062400,Spiced Rum,260,DIAGEO AMERICAS,43331,Captain Morgan Spiced Rum Mini,12,500,4.8,7.2,1,7.2,0.5,0.13
INV-07233200028,9/13/2017,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 First Avenue NE,Cedar Rapids,52402,POINT (-91.650755 41.988967),57,LINN,1031100,American Vodkas,255,Infinium Spirits,37886,Seagrams Vodka,12,750,5.38,8.07,12,96.84,9,2.38
INV-07324100048,9/19/2017,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1st Ave,Iowa City,52240,,52,JOHNSON,1041100,American Dry Gins,434,LUXCO INC,31657,Paramount Gin,12,1000,4.3,6.45,1,6.45,1,0.26
INV-07234700053,9/13/2017,5348,"Super Lucky, Inc",806 W Main St.,Le Grand,50142,POINT (-92.78465400000002 42.006665),64,MARSHALL,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,30,45,1,44.58,3,0.79
INV-07239700024,9/14/2017,3995,Barmuda Distribution,6027 University Ave Ste 100,Cedar Falls,50613,POINT (-92.430437 42.512768),7,BLACK HAWK,1081400,American Schnapps,434,LUXCO INC,82127,Arrow Peach Schnapps,12,1000,5,7.5,12,90,12,3.17
INV-07320000014,9/19/2017,5338,Kum & Go # 539/ Des Moines,5050 NW 2nd Ave,Des Moines,50313,,77,POLK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11776,Black Velvet,12,750,5.23,7.85,10,78.5,7.5,1.98
INV-07261000011,9/14/2017,4149,Fareway Stores #015 / Denison,609 Arrowhead Dr,Denison,51442,POINT (-95.371847 42.024517),24,CRAWFORD,1032100,Imported Vodkas,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,12.59,18.89,6,113.34,10.5,2.77
INV-07230300045,9/13/2017,3723,J D Spirits Liquor,1023  9th St,Onawa,51040,POINT (-96.095845 42.025841),67,MONONA,1031100,American Vodkas,260,DIAGEO AMERICAS,38006,Smirnoff PET 80prf,12,750,8.25,12.38,2,24.76,1.5,0.4
INV-07291500010,9/18/2017,4155,Fareway Stores #949 / Marion,3300 10th Ave,Marion,52302,POINT (-91.576523 42.036023),57,LINN,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11788,Black Velvet,6,1750,10.45,15.68,600,9408,1050,277.38
INV-07335100002,9/19/2017,4118,Lake View Redemption Center,502 5th Street,Lake View,51450,POINT (-95.051539 42.307764000000006),81,SAC,1011200,Straight Bourbon Whiskies,421,SAZERAC COMPANY  INC,16517,Ancient Age Bourbon,12,1000,7.5,11.25,3,33.75,3,0.79
INV-07268800017,9/15/2017,5259,Gameday Liquor,924 Locust St,Glenwood,51534,POINT (-95.916235 41.284951),65,MILLS,1081200,Cream Liqueurs,305,Mhw LTD,73058,"""Rumchata """"MiniChatas"""" Creamer Cups""",12,375,7,10.5,2,21,0.75,0.2
INV-07294000041,9/18/2017,2538,Hy-Vee Food Store #3 / Waterloo,1422 Flammang Dr,Waterloo,50702,POINT (-92.327917 42.459938),7,BLACK HAWK,1031100,American Vodkas,259,Heaven Hill Brands,39920,Deep Eddy Peach Mini,6,600,4.84,7.26,6,43.56,3.6,0.95
INV-07224100042,9/13/2017,4135,Fareway Stores #925 / Altoona,620 SE 8th St,Altoona,50009,POINT (-93.458606 41.644082000000004),77,POLK,1062400,Spiced Rum,260,DIAGEO AMERICAS,43318,Captain Morgan Private Stock,6,1750,19.5,29.25,36,1053,63,16.64
INV-07228500110,9/13/2017,3820,"Charlie's Wine and Spirits,",507 W 19th St,Sioux City,51103,POINT (-96.420193 42.510535),97,WOODBURY,1022200,100% Agave Tequila,330,Gemini Spirits,87380,Corazon De Agave Blanco,6,750,11.75,17.63,6,105.78,4.5,1.19
INV-07234100071,9/13/2017,5172,Uptown Liquor & Tobacco,2000 Willey Blvd SW,Cedar Rapids,52404,POINT (-91.725777 41.959614),57,LINN,1031200,American Flavored Vodka,380,Phillips Beverage,41693,Uv Blue (raspberry) Vodka,12,750,6.5,9.75,5,48.75,3.75,0.99
INV-07224000007,9/13/2017,2548,Hy-Vee Food Store / Altoona,100 8th Street SW,Altoona,50009,POINT (-93.465301 41.644041),77,POLK,1081200,Cream Liqueurs,434,LUXCO INC,68846,St. Brendan's Superior Irish Cream Liqueur,12,750,7.69,11.54,12,138.48,9,2.38
INV-07260900039,9/14/2017,2595,Hy-Vee Wine and Spirits / Denison,"1620  4th Ave, South",Denison,51442,POINT (-95.348601 42.012395),24,CRAWFORD,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,5,40,1.88,0.5
INV-07303400148,9/18/2017,5470,Super Saver Liquor of Muscatine,1510 A Isett Ave,Muscatine,52761,POINT (-91.042755 41.440327),70,MUSCATINE,1052100,Imported Brandies,389,REMY COINTREAU USA INC,49185,Remy Martin VSOP (flask),12,375,11.59,17.39,7,116.76,2.62,0.69
INV-07291300033,9/18/2017,2569,Hy-Vee Food Store #2 / Cedar Rapids,279 Collins Road NE,Cedar Rapids,52402,POINT (-91.630677 42.027805),57,LINN,1011600,Straight Rye Whiskies,255,Infinium Spirits,27102,Templeton 4YR Rye,6,750,18.09,27.14,1,27.14,0.75,0.2
INV-07330200077,9/19/2017,2663,Hy-Vee / Urbandale,8701 Douglas,Urbandale,50322,POINT (-93.739105 41.629364),77,POLK,1022100,Mixto Tequila,395,PROXIMO,89198,Jose Cuervo Especial Reposado Tequila,6,1750,21,31.5,12,378,21,5.55
INV-07248200008,9/14/2017,4365,Kum & Go #222 / West St Grinnell,1002 West St,Grinnell,50112,POINT (-92.727375 41.745106),79,POWESHIEK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11776,Black Velvet,12,750,5.23,7.85,12,94.2,9,2.38
INV-07223200011,9/13/2017,2611,Hy-Vee Drugstore / Ottumwa,1140 North Jefferson St,Ottumwa,52501,POINT (-92.401538 41.026754000000004),90,WAPELLO,1012100,Canadian Whiskies,55,SAZERAC NORTH AMERICA,12404,Canadian Ltd Whisky,24,375,2.05,3.08,4,12.32,1.5,0.4
INV-07320500078,9/19/2017,5142,Smokin' Joe's #13 Tobacco & Liquor O,,,,,,,1011100,Blended Whiskies,297,Laird & Company,23626,Five Star Pet,12,750,3.5,5.25,12,63,9,2.38
INV-07221900021,9/13/2017,3735,C B Liquor,1202 A Ave East,Oskaloosa,52577,POINT (-92.631487 41.296286),10,Buchanan,1022100,Mixto Tequila,55,SAZERAC NORTH AMERICA,89577,Montezuma Gold Tequila,12,1000,7.02,10.53,12,126.36,12,3.17
INV-07275500023,9/15/2017,2602,Hy-Vee Food Store / Webster City,823  2nd St,Webster City,50595,POINT (-93.825486 42.469466),40,HAMILTON,1012100,Canadian Whiskies,461,Skyy Spirits Inc,10890,Forty Creek,12,750,10.52,15.78,6,94.68,4.5,1.19
INV-07255000086,9/14/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1031100,American Vodkas,301,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,19,28.5,6,166.62,10.5,2.77
INV-07279600016,9/15/2017,2445,Ruback's Food Center,504 South Highway,Oakland,51560,,78,POTTAWATTA,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11774,Black Velvet,24,375,3.07,4.61,3,13.83,1.12,0.3
INV-07268000002,9/15/2017,5210,Ding's Honk'n Holler,"900, E  Washington  St",Clarinda,51632,POINT (-95.027238 40.739231),73,PAGE,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11788,Black Velvet,6,1750,10.45,15.68,6,94.08,10.5,2.77
